Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""issue_page/assigne/reza""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:40,2021-01-11 17:26:40,0.001s,NOT_RUN
"click(findTestObject(""issue_page/targetversion/oneID""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:40,2021-01-11 17:26:40,0.000s,NOT_RUN
"setText(findTestObject(""issue_page/estimated_time""), estimated, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:40,2021-01-11 17:26:41,0.571s,PASSED
"selectOptionByLabel(findTestObject(""issue_page/storypoints/storypoint_global""), storypoint, false, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:41,2021-01-11 17:26:41,0.553s,PASSED
"click(findTestObject(""issue_page/storypoints/sp1""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:41,2021-01-11 17:26:41,0.001s,NOT_RUN
"click(findTestObject(""issue_page/create_btn""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:41,2021-01-11 17:26:41,0.000s,NOT_RUN
"verifyElementPresent(findTestObject(""issue_page/wrapper_tracker""), 3, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:41,2021-01-11 17:26:41,0.000s,NOT_RUN
closeBrowser(CONTINUE_ON_FAILURE),Chrome 87.0.4280.141,,,2021-01-11 17:26:41,2021-01-11 17:26:41,0.001s,NOT_RUN
,,,,,,,
Test Cases/OneID/rezha/feature_samplev2,Chrome 87.0.4280.141,,,2021-01-11 17:26:41,2021-01-11 17:26:56,14.981s,FAILED
"callTestCase(findTestCase(""login_testcase/login""), [:], CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:41,2021-01-11 17:26:41,0.001s,NOT_RUN
